Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case
Extran Ap17 Liquid, Alkaline Concentrate 2.5 Litre;Extran® AP 17;EM1.40006.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40006.2500;$100.06;$395.44
Extran Ap17 Liquid, Alkaline Concentrate 25 litre;Extran® AP 17;EM1.40006.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40006.9025;$742.20;Цена для Case не найдена
Extran Ap17 Liquid, Alkaline Concentrate 10 litre;Extran® AP 17;EM1.40006.9010;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40006.9010;$378.53;Цена для Case не найдена
Extran Ma05 Liquid, Alkaline, Phosphate-Free Concentrate 2.5 Litre;Extran® MA 05;EM1.40000.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40000.2500;$60.31;$238.89
Extran Ma05 Liquid, Alkaline, Phosphate-Free Concentrate 25 litre;Extran® MA 05;EM1.40000.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40000.9025;$579.89;Цена для Case не найдена
Extran* MA 01 alkaline 1l;EXTRAN MA 01 ALKALINE;EM1.07555.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07555.1000;$78.59;$304.86
Extran* MA 01 alkaline 25kg;Extran® MA 01;EM1.07555.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07555.9025;$471.68;Цена для Case не найдена
Extran* MA 01 alkaline 10l;Extran® MA 01;EM1.07555.9010;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07555.9010;$245.92;Цена для Case не найдена
Extran* MA 01 alkaline2.5l;EXTRAN MA 01 ALKALINE;EM1.07555.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07555.2500;$111.28;$438.83
Extran* AP18 liquid, mild alkaline concentrate, pH: 13, Storage: +15 to +25 degree C, Size: 25L;Extran® AP 18;EM1.40118.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40118.9025;$580.38;Цена для Case не найдена
Extran* AP18 liquid, mild alkaline concentrate, pH: 13, Storage: +15 to +25 deg C, Size: 2.5L;Extran® AP 18 liquid;EM1.40118.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40118.2500;$101.57;Цена для Case не найдена
Extran* AP18 liquid, mild alkaline concentrate, pH: 13, Storage: +15 to +25 deg C, Size: 10L;Extran® AP 18;EM1.40118.9010;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.40118.9010;$313.04;Цена для Case не найдена
