Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case;НормализованноеНазвание
(4-Pyridylthio)Acetic Acid for Synthesis 25G;(4-PYRIDYLTHIO)ACETIC AC (25G);EM8.14029.0025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM8.14029.0025;$120.00;$11,136.00;(4-pyridylthio)acetic acid for synthesis 25g
(beta) b-Glycerophosphate, Disodium Salt, Pentahydrate;50gm. beta-GP. White solid. Protect from moisture. A phosphate group donor in matrix mineralization studies. Accelerates calcification in vascular smooth muscle cells. Purity: >=97% by titration. RTECS UA0600000, CAS 819-83-0.;80109-978;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=80109-978;$83.99;Цена для Case не найдена;(beta) b-glycerophosphate, disodium salt, pentahydrate
(beta) b-Glycerophosphate, Disodium Salt, Pentahydrate;250gm. beta-GP. White solid. Protect from moisture. A phosphate group donor in matrix mineralization studies. Accelerates calcification in vascular smooth muscle cells. Purity: >=97% by titration. RTECS UA0600000, CAS 819-83-0.;80109-976;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=80109-976;$184.24;Цена для Case не найдена;(beta) b-glycerophosphate, disodium salt, pentahydrate
(S)-(+)-Lysine Monohydrochloride For Synthesis;SODIUM SULFATE ANHYDROUS (5KG);EM8.22286.5000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM8.22286.5000;$209.00;$828.00;(s)-(+)-lysine monohydrochloride for synthesis
(S)-(-)-Phenylalanine For Synthesis;SODIUM NITRITE CRYST. FO (1KG);EM8.22285.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM8.22285.1000;$388.00;$2,327.00;(s)-(-)-phenylalanine for synthesis
1,10-Phenanthroline Monohydrate Gr Acs;1,10-PHENANTHROLINE MONO (10G);EM1.07225.0010;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07225.0010;$287.00;$30,945.00;1,10-phenanthroline monohydrate gr acs
1,10-Phenanthroline Monohydrate Gr Acs;1,10-PHENANTHROLINE MON (100G);EM1.07225.0100;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07225.0100;$967.00;$18,703.00;1,10-phenanthroline monohydrate gr acs
1,2-Dichloroethane, Anhydrous, DriSolv;1,2-Dichloroethane, Anhydrous, DriSolv;EM-DX0794-7;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM-DX0794-7;$145.00;$790.00;1,2-dichloroethane, anhydrous, drisolv
1,3-Dioxolane (Stabilised) For Synthesis;SODIUM SULFATE ANHYDROUS (1KG);EM8.22286.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM8.22286.1000;$74.00;$405.00;1,3-dioxolane (stabilised) for synthesis
1,3-Dioxolane (Stabilised) For Synthesis;SODIUM NITRITE CRYST. FO (5KG);EM8.22285.5000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM8.22285.5000;$188.00;$735.00;1,3-dioxolane (stabilised) for synthesis
