Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case
Ethanol 96%EMSURE* Reag. PH Eur 500Ml;ETHANOL 96%EMSURERE (500ML);EM1.59010.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.59010.0500;$300.00;$1,694.00
Emsure* n-Pentane for analysis, Cas number: 109-66-0, Chemical Formula:CH3(CH2)3CH3, 4ml;N-PENTANE FOR ANALYSISEMSURE4L;EM1.07177.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07177.4000;$790.00;Цена для Case не найдена
Water for AnalysisEMSURE* 5L;WATER FOR ANALYSISEMSURE(5L);EM1.16754.5000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.16754.5000;$158.00;$604.00
Water for AnalysisEMSURE* 4L;WATER FOR ANALYSISEMSURE(4L);EM1.16754.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.16754.4000;$157.00;$620.00
Water for AnalysisEMSURE* 10L;WATER FOR ANALYSIS EMSUR (10L);EM1.16754.9010;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.16754.9010;$315.00;Цена для Case не найдена
EmsureNitric Acid 69% For Analysis 2.5 Litre pl.coat;NITRIC ACID 69%EMSUREACS GRD 2.5L;EM1.01799.2510;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01799.2510;$248.00;$981.00
Sulfuric Acid 98% for AnalysisEMSURE* 1L;SULFURIC ACID 98% FOR ANA (1L);EM1.12080.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.12080.1000;$121.00;$709.00
Sulfuric Acid 98% for AnalysisEMSURE* 2. 5L;SULFURIC ACID 98% FOR A (2.5L);EM1.12080.2510;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.12080.2510;$252.00;$963.00
EmsureNitric Acid 65% For Analysis;NITRIC ACID 65%EMSURE1000ML F/ANALYSIS;EM1.00456.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00456.1000;$111.00;$629.00
Emsure* Cyclohexane for analysis, ACS, ISO, Reagent Ph Eur grade, Cas number: 110-82-7, 4l;CYCLOHEXANE FOR ANALYSISEMSURE4L;EM1.09666.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09666.4000;$507.00;$2,019.00
Sodium acetate;Sodium acetate, anhydrous for analysisEMSURE* ACS, Reag. Ph Eur, CAS number 127-09-3, Chemical Formula: CH3COONa, 12kg;EM1.06268.9012;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06268.9012;$8,527.00;Цена для Case не найдена
Isooctane;Emsure* Isooctane for analysis, ACS, Reagent Ph Eur grade, Cas number: 540-84-1, Chemical Formula:CH3C(CH3)2CH2CH(CH3)CH3, 4l.;EM1.04727.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04727.4000;$509.00;$2,034.00
